hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
499,3770119,NA,NA,NA,123000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4409,8894073,NA,NA,NA,92500,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1227,2618024,NA,NA,NA,335000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2278,7828740,NA,NA,NA,165000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4279,8743736,NA,NA,NA,249850,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2000,1542387,NA,NA,NA,85000,0,in paid employ,yes,"£10,000-14,499",no,yes,yes,no,no,no,no,no,no
3948,665656,NA,NA,NA,274995,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1921,3658941,NA,NA,NA,89500,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4113,5030173,NA,NA,NA,67500,0,in paid employ,yes,"£1,500-1,999",no,no,yes,no,no,no,no,no,no
1596,6312214,NA,NA,NA,155000,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4381,8302035,NA,NA,NA,286000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
722,1569422,6789963,2110820,9358084,125000,3,in paid employ,yes,"£6,000-6,499",yes,no,yes,no,no,no,no,no,yes
809,7263156,NA,NA,NA,365000,0,self employed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3711,4077542,NA,NA,NA,129950,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
167,5846381,NA,NA,NA,148000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2692,3687721,NA,NA,NA,160000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
423,5400439,NA,NA,NA,134000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2191,179867,NA,NA,NA,121260,0,FT student,yes,refused,yes,no,no,no,no,no,no,no,no
156,9389397,NA,NA,NA,148000,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
290,6980437,NA,NA,NA,165000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3364,8327161,NA,NA,NA,148000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1091,8513724,NA,NA,NA,197950,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3756,9927914,NA,NA,NA,190000,0,retired,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
1382,6550189,NA,NA,NA,782500,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1947,3258993,NA,NA,NA,128000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4107,8843666,NA,NA,NA,159995,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2094,2743074,NA,NA,NA,77500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2541,717890,NA,NA,NA,135000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2794,2263451,NA,NA,NA,75000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4031,204334,NA,NA,NA,280000,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
904,8167286,NA,NA,NA,187000,1,something else,yes,<£200,no,no,no,no,no,yes,no,no,no
4284,2520904,NA,NA,NA,124950,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
243,990736,NA,NA,NA,317500,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3533,983925,NA,NA,NA,188750,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1659,5620914,NA,NA,NA,150876,2,in paid employ,yes,£200-499,no,no,yes,no,no,no,no,no,no
3738,8742768,NA,NA,NA,675000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1561,6860680,8730143,NA,NA,124995,0,in paid employ,yes,"£1,000-1,499",no,no,yes,no,no,no,yes,no,no
3952,2118102,NA,NA,NA,58500,0,in paid employ,yes,don't know,no,no,no,yes,no,no,no,no,yes
1274,2460567,NA,NA,NA,109000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
579,2087031,NA,NA,NA,125000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3431,5644039,NA,NA,NA,134000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
495,2657385,NA,NA,NA,140000,1,something else,yes,"£1,000-1,499",no,no,no,yes,no,no,no,no,no
4058,4643711,NA,NA,NA,65000,0,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
314,1203014,NA,NA,NA,318000,0,FT student,no,not applicable,no,no,no,no,no,no,no,no,no
2816,1339139,NA,NA,NA,197950,3,long-term sick/disab,yes,"£7,000-7,499",yes,yes,yes,yes,no,no,yes,no,yes
1226,3872016,NA,NA,NA,156000,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
506,5578040,NA,NA,NA,120000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3193,8553491,NA,NA,NA,228000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
62,1955412,NA,NA,NA,85000,0,retired,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
4410,5752700,NA,NA,NA,430000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1111,9370851,8753916,NA,NA,155000,1,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
3530,3126730,NA,NA,NA,139700,0,self employed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4102,7461041,NA,NA,NA,96500,4,in paid employ,yes,£200-499,yes,no,no,no,no,no,no,no,no
2297,4205871,NA,NA,NA,143000,0,in paid employ,yes,"£2,500-2,999",yes,no,no,no,no,no,yes,no,no
3923,1231167,NA,NA,NA,173000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1190,7206923,NA,NA,NA,265000,0,long-term sick/disab,no,not applicable,no,no,no,no,no,no,no,no,no
1656,3504762,NA,NA,NA,682500,0,in paid employ,yes,"£2,500-2,999",no,yes,no,no,no,no,no,no,no
4424,5984962,NA,NA,NA,224950,0,in paid employ,yes,<£200,no,no,no,no,no,no,yes,no,no
